ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
658,Thing,75,84,21,100,38,80,Male,Human / Radiation,183 cm,225 kg,Blue,No Hair,Ben Grimm,"Blackbeard the Pirate, Grim Ben, Dr. Josiah Verpoorteen","New York City, New York","Fantastic Four #1 (November, 1961)",Marvel Comics,good
659,Thor,69,100,83,100,100,100,Male,Asgardian,198 cm,288 kg,Blue,Blond,Thor Odinson,"Donald Blake, Sigurd Jarlson, Jake Olsen, Donar the Mighty",Asgard,"Journey into Mystery #83 (August, 1962)",Rune King Thor,good
660,Thor Girl,75,83,70,84,100,70,Female,Asgardian,175 cm,143 kg,Blue,Blond,Tarene,"Asgard Lass, the Designate, the Destroyer, Hammerette, Hammer Girl, Hammer Lass, Tara Olson, Spirit of the Jewel, the Supreme, Thoreta, Thorita, Thor Lass",-,"Thor, Volume 2, #22; (as Thor Girl) Thor, Volume 2, #33",Marvel Comics,good
661,Thunderbird,50,32,27,32,13,70,Male,null,185 cm,101 kg,Brown,Black,John Proudstar,-,"Camp Verde, Arizona",Giant-Size X-Men #1 (1975),Marvel Comics,good
662,Thunderbird II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,James Proudstar,-,-,-,Warpath,good
663,Thunderbird III,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,175 cm,74 kg,Brown,Black,Neal Shaara,-,Bangladesh,-,Marvel Comics,good
664,Thunderstrike,63,80,70,84,42,72,Male,null,198 cm,288 kg,Blue,Blond,Eric Kevin Masterson,Thor,-,(as Masterson) Thor #391; (as Thor) Thor #432; (as Thunderstrike) Thunderstrike #1,Marvel Comics,good
665,Thundra,38,81,32,64,26,54,Female,null,218 cm,158 kg,Green,Red,Thundra,-,-,"Fantastic Four #129 (December, 1972)",Marvel Comics,good
666,Tiger Shark,38,72,46,70,51,28,Male,Human,185 cm,203 kg,Grey,No Hair,Todd Arliss,Arlys Tigershark,"Pasadena, California","Sub-Mariner #5 (September, 1968)",Marvel Comics,bad
667,Tigra,63,32,53,38,33,90,Female,null,178 cm,81 kg,Green,Auburn,Greer Grant Nelson,"The Cat, Greer Sorenson",Presumably Chicago Illinois USA,The Cat #1,Marvel Comics,good
668,Tinkerer,100,10,23,14,10,14,Male,null,163 cm,54 kg,Brown,White,Phineas Mason,-,-,Amazing Spider-Man #2 (1963),Marvel Comics,bad
669,Titan,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,HarperCollins,good
670,Toad,50,34,58,56,70,28,Male,Mutant,175 cm,76 kg,Black,Brown,Mortimer Toynbee,The Terrible Toad-King,"York, England","X-Men #4 (March, 1964)",Marvel Comics,neutral
671,Toxin,56,73,70,84,82,70,Male,Symbiote,188 cm,97 kg,Blue,Brown,Patrick Mulligan,Larry,New York City,Venom vs. Carnage #1 (2004),Marvel Comics,good
672,Toxin,75,80,42,85,97,70,Male,Symbiote,191 cm,117 kg,Black,Blond,Eddie Brock,"Eddie, Sister Edwina, ""Ed"", Edwin Brock, Venom, Lethal Protector, 998th, Anti-Venom, White Venom","San Francisco, California",Venom Vol 2 #17,Anti-Venom,good
673,Tracy Strauss,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Tracy Strauss,Ice Queen,"Beverly Hills, CA",-,NBC - Heroes,good
674,Trickster,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,183 cm,81 kg,Blue,Blond,Giovanni Giuseppe,James Jesse,-,"Flash #113 (July, 1960)",DC Comics,-
675,Trigon,Sin dato,99,Sin dato,Sin dato,Sin dato,Sin dato,Male,God / Eternal,0 cm,0 kg,Yellow,Black,,"Lucifer, Satan,The Devil, Lord Trigon, Master Trigon, King Trigon, Conqueror of Worlds, Ruler of the Five Under Realms",-,"New Teen Titans #5 (March, 1981)",DC Comics,bad
676,Triplicate Girl,63,10,23,42,44,42,Female,null,168 cm,59 kg,Purple,Brown,Luornu Durgo,"Duo Damsel, Una, Triad",-,Teen Titans/Legion Special #1,DC Comics,good
677,Triton,56,63,50,65,35,55,Male,Inhuman,188 cm,86 kg,Green,No Hair,Triton,-,"Island of Attilan, Atlantic Ocean","Fantastic Four #45 (December, 1965)",Marvel Comics,good
678,Two-Face,88,10,12,14,9,28,Male,null,183 cm,82 kg,-,-,Harvey Dent,Apollo,-,-,DC Comics,bad
679,Ultragirl,50,80,35,70,35,80,Female,null,168 cm,105 kg,Blue,Blond,Tsu-Zana,"Suzy Sherman, Ultra-Girl",-,-,Marvel Comics,good
680,Ultron,88,83,42,100,100,64,Male,Android,206 cm,331 kg,Red,-,Ultron,"Crimson Cowl, Great Devil, Great Ultron, Iron Man, Mark, Omega, Ultimate Ultron, Ultron-5 (and hundreds of other sequential numerical designations), Ultron Mark Twelve, Ho Yinsen","Created in Cresskill, New Jersey","Avengers #54 (July, 1968)",Marvel Comics,bad
681,Utgard-Loki,50,80,23,84,85,64,Male,Frost Giant,15.2 meters,58 tons,Blue,White,,-,Jotunheim,-,Marvel Comics,bad
682,Vagabond,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,168 cm,54 kg,Blue,Strawberry Blond,Priscilla Lyons,-,-,"(as Lyons) CAPTAIN AMERICA #325, (as Vagabond) CAPTAIN AMERICA #342",Marvel Comics,good
683,Valerie Hart,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,175 cm,56 kg,Hazel,Black,,-,"East Coast, Canada",Team Epic Episode 101,Team Epic TV,good
684,Valkyrie,Sin dato,94,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,191 cm,214 kg,Blue,Blond,Brunnhilde (also spelled Brunnhilda),"Barbara Norriss, Samantha Parrington",Presumably Asgard,"(Enchantress in Valkyrie's form) AVENGERS #87, (Samantha Parrington in Valkyrie's form) INCREDIBLE HULK #142, (Brunnhilde in Barbara Norriss's body) DEFENDERS #3, (Brunnhilde in her own body) DEFENDERS #109",Marvel Comics,good
685,Vanisher,63,10,75,56,61,42,Male,null,165 cm,79 kg,Green,No Hair,,Telford Porter,"Boston, Massachusetts",X-Men (Vol 1) #2,Marvel Comics,bad
686,Vegeta,81,100,92,95,100,100,Male,Saiyan,168 cm,73 kg,-,Black,Vegeta,"Prince Vegeta, The Saiyan Prince, The Prince of all Saiyans, Majin Vegeta, Bejiita, Bejiita no Ouji, Vejita, Vegita, Captain Vegeta, Vegeta-Sama, Makita (Hebrew dub), Bezita (Malaysian dub), Super Vegeta",-,Dragon Ball #17,Shueisha,bad
687,Venom,75,57,65,84,86,84,Male,Symbiote,191 cm,117 kg,Blue,Strawberry Blond,Eddie Brock,-,"New York, New York","(as alien costume) Secret Wars #8, (behind the scenes) Web of Spider-Man #18, (actual appearance) Amazing Spider-Man #300",Anti-Venom,bad
688,Venom II,50,57,47,70,54,56,Male,null,175 cm,50 kg,Brown,Black,Angelo Fortunato,-,-,Marvel Knights Spider-Man #7 (2005),Marvel Comics,bad
689,Venom III,63,73,35,90,73,56,Male,Symbiote,229 cm,334 kg,Brown,Brown,MacDonald Gargan,Scorpion,-,(As Gargan) Amazing Spider-Man #19 (1964); (as Scorpion) Amazing Spider-Man #20 (1965); (as Venom) Marvel Knights: Spider-Man #10 (2005),Scorpion,bad
690,Venompool,69,57,63,100,100,100,Male,Symbiote,226 cm,0 kg,-,-,Wade Wilson,Deadpool,-,"What If? Iron Man: Demon in an Armor #1 (February, 2011)",Deadpool,-
691,Vertigo II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,168 cm,52 kg,Blue,Silver,-,-,The Savage Land,MARVEL FANFARE #1,Blaquesmith,good
692,Vibe,50,10,17,30,99,30,Male,Human,178 cm,71 kg,Brown,Black,Cisco Ramon,-,-,The New 52: FCBD Special Edition #1,DC Comics,good
693,Vindicator,63,63,53,64,58,70,Female,Human,165 cm,54 kg,Green,Red,Heather Hudson,Guardian,"Calgary, Alberta, Canada","X-Men #139 (November, 1980)",Vindicator II,good
694,Vindicator,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Dr. James McDonald Hudson,-,-,-,Marvel Comics,good
695,Violator,Sin dato,53,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,The Clown,-,"as Clown (Spawn #1), as Violator (Spawn #2)",Image Comics,bad
696,Violet Parr,56,9,13,50,79,15,Female,Human,137 cm,41 kg,Violet,Black,Violet Parr,"Vi (nickname), The Queen of the Unseen, Invisagirl (InvisaVi)",-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good
697,Vision,100,72,54,95,100,70,Male,Android,191 cm,135 kg,Gold,No Hair,Vision,Victor Shade,-,"Avengers Vol.1 #57, Young Avengers # 4",Anti-Vision,good
698,Vision II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,191 cm,135 kg,Red,No Hair,Vision,"Victor Shade, Ghost of Stone",Place of birth unknown,Avengers (Vol. 1) #57,Anti-Vision,good
699,Vixen,50,38,50,50,62,25,Female,Human,175 cm,63 kg,Amber,Black,Mari McCabe,-,Zambesi,"Action Comics #521 (July, 1981)",DC Comics,good
700,Vulcan,Sin dato,56,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Black,Black,Gabriel Summers,Kid Vulcan,-,-,Marvel Comics,good
701,Vulture,75,22,42,25,26,30,Male,Human,180 cm,79 kg,Brown,No Hair,Adrian Toomes,-,"Staten Island, New York City",Amazing Spider-Man #2,Marvel Comics,bad
702,Walrus,50,28,8,50,11,20,Male,Human,183 cm,162 kg,Blue,Black,Hubert Carpent,-,"Brooklyn, New York","Defenders #131 (May, 1984)",Marvel Comics,bad
703,War Machine,63,80,63,100,100,85,Male,Human,185 cm,95 kg,Brown,Brown,James Rupert Rhodes,"Rhodey, Iron Man, Jim Rhodes","Philadelphia, Pennsylvania",Iron Man #118 (1979),Marvel Comics,good
704,Warbird,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,180 cm,54 kg,Blue,Blond,Carol Danvers,"Ms. Marvel, Binary","Boston, Massachusetts","(as Carol Danvers) MARVEL SUPER HEROES #13, (as Ms. Marvel) MS. MARVEL #1, (as Binary) X-MEN # 164, AVENGERS Vol. 3, # 4",Binary,good
705,Warlock,88,36,79,95,71,95,Male,null,188 cm,108 kg,Red,Blond,Adam Warlock,"Him, (in an alternate future) the Magus","The Beehive, Shard Island, Atlantic Ocean",Fantastic Four #66,Marvel Comics,good
706,Warp,38,10,23,28,85,50,Male,null,173 cm,67 kg,Brown,Black,Emil LaSalle,-,-,The New Teen Titans #14 (December 1981),DC Comics,bad
707,Warpath,38,72,47,70,26,84,Male,Mutant,218 cm,158 kg,Brown,Black,James Proudstar,Thunderbird,"Camp Verde, Arizona","New Mutants #16 (June, 1984)",Thunderbird II,good
708,Wasp,63,17,58,52,29,42,Female,Human,163 cm,50 kg,Blue,Auburn,Janet Van Dyne,Pixie,"Cresskill, New Jersey",TALES TO ASTONISH #44,Marvel Comics,good
709,Watcher,100,80,67,89,100,56,Male,null,0 cm,0 kg,-,-,Uatu,-,-,"Fantastic Four #13 (April, 1963)",Marvel Comics,good
710,Weapon XI,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Weapon XI,weapon 10,-,-,Marvel Comics,bad
711,White Canary,63,7,33,15,49,90,Female,Human,0 cm,0 kg,Brown,Black,,"Silk Sister, Sara Lance",-,Birds of Prey #1,DC Comics,bad
712,White Queen,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,178 cm,65 kg,Blue,Blond,Emma Grace Frost,White Queen,"Boston, Massachusetts",UNCANNY X-MEN #129,Marvel Comics,good
713,Wildfire,50,32,23,100,77,42,Male,null,0 cm,0 kg,-,-,Drake Burroughs,"ERG-1, Atom'x, Randall Burroughs, Jahr-Drake Nigle",-,-,DC Comics,good
714,Winter Soldier,56,32,35,65,60,84,Male,Human,175 cm,117 kg,Brown,Brown,Bucky Barnes,"Bucky, Captain America",-,"Captain America Vol 5 #1 (January, 2005) (as Winter Soldier)",Marvel Comics,good
715,Wiz Kid,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,140 cm,39 kg,Brown,Black,Takashi Matsuya,-,Place of birth unknown,X-TERMINATORS # 1,Marvel Comics,good
716,Wolfsbane,38,16,35,42,26,42,Female,null,366 cm,473 kg,Green,Auburn,Rahne Sinclair,"Grimfang, Mutate #490","Somewhere in Ross and Cromarty, Scotland",Marvel Graphic Novel #4: New Mutants,Marvel Comics,good
717,Wolverine,63,32,50,100,89,100,Male,Mutant,160 cm,135 kg,Blue,Black,Logan,"Weapon X, Weapon Ten, Death, Mutate 9601, Jim Logan, Emilio Garra, Weapon Chi, Experiment X, Agent Ten, Peter Richards, Mai kethLogan, Mr. Patch","Alberta, Canada",Incredible Hulk Vol. 2 #180,Marvel Comics,good
718,Wonder Girl,75,90,25,80,39,60,Female,Demi-God,165 cm,51 kg,Blue,Blond,Cassandra Elizabeth Sandsmark,"Cassandra Sandsmark, Cassie, Helen Troy, Wonder Woman, Cassie Sandsmark",-,Wonder Woman (vol. 2) #105 (January 1996),DC Comics,good
719,Wonder Man,75,100,53,90,64,64,Male,null,188 cm,171 kg,Red,Black,Simon Williams,"Wondie, JQ-272712-K","Paterson, New Jersey",AVENGERS #9,Marvel Comics,good
720,Wonder Woman,88,100,79,100,100,100,Female,Amazon,183 cm,74 kg,Blue,Black,Diana Prince,"Princess Diana, Princess of the Amazons, Goddess of Truth,  Wondy, Wonder Girl, The Amazon Princess",Themyscira,"All-Star Comics #8 (December, 1941)",DC Comics,good
721,Wondra,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
722,Wyatt Wingfoot,10,10,12,1,1,56,Male,null,196 cm,117 kg,Brown,Black,Wyatt Wingfoot,-,"Keewazi Reservation, Oklahoma",FANTASTIC FOUR #50,Marvel Comics,good
723,X-23,75,24,42,100,55,95,Female,Mutant / Clone,155 cm,50 kg,Green,Black,Laura Kinney,"Laura Logan, Laura Howlett, Laura X, Talon, Wolverine, X23","The Facility, location unrevealed",NYX #3,Marvel Comics,good
724,X-Man,88,53,53,95,100,84,Male,null,175 cm,61 kg,Blue,Brown,Nate Grey,Nate the Great,American Northeast of Earth-295,X-Man #1 (1995),Marvel Comics,good
725,Yellow Claw,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,188 cm,95 kg,Blue,No Hair,,The Claw,Somewhere in mainland China,"(historical) YELLOW CLAW #1; (modern) (telepathic 'voice' of Yellow Claw) STRANGE TALES #160, (robot Yellow Claw) STRANGE TALES # 161, (actual Yellow Claw)CAPTAIN AMERICA #164",Marvel Comics,bad
726,Yellowjacket,88,10,12,28,12,14,Male,Human,183 cm,83 kg,Blue,Blond,Hank Pym,Hank Pym,"Elmsford, New York","(as Pym) TALES TO ASTONISH #27, (as Ant-Man) TALES TO ASTONISH #35, (as Giant-Man) TALES TO ASTONISH #49, (as Goliath) AVENGERS #28, (as Yellowjacket) AVENGERS #59",Ant-Man,good
727,Yellowjacket II,50,10,35,28,31,28,Female,Human,165 cm,52 kg,Blue,Strawberry Blond,Rita DeMara,-,-,Avengers #264,Marvel Comics,good
728,Ymir,50,100,27,100,98,28,Male,Frost Giant,304.8 meters,0 kg,White,No Hair,Ymir,Aurgelmir,Niffleheim,JOURNEY INTO MYSTERY #97,Marvel Comics,good
729,Yoda,88,52,33,25,100,90,Male,Yoda's species,66 cm,17 kg,Brown,White,Yoda,-,-,Star Wars: Episode V - The Empire Strikes Back (1980),George Lucas,good
730,Zatanna,81,10,23,28,100,56,Female,Human,170 cm,57 kg,Blue,Black,Zatanna Zatara,-,-,Hawkman #4,DC Comics,good
731,Zoom,50,10,100,28,100,28,Male,null,185 cm,81 kg,Red,Brown,Hunter Zolomon,-,-,Flash Secret Files #3,DC Comics,bad
